title,description,sector,foundation_year,location,url,page
kasko2go AG,Fully digitalized automotive insurance products,Fintech,2017,Zug,http://www.kasko2go.com,88
Finity SA (former paper.li),Create your newspaper,Software,2016,Lausanne,https://paper.li/,88
Luciole Medical AG (former NeMoDevices AG),Innovative neuromonitoring systems,Medtech,2007,Zürich,https://www.luciolemedical.com/,88
Medyria AG,Advanced and intuitive methods for the visualization and con,Medtech,2012,Winterthur,http://www.medyria.com,88
KetoSwiss AG,A new migraine preventative that improves brain energetics.,Biotech,2017,Basel,http://www.keto.swiss,88
InnoBoost SA,Simplify and Innovate,unknown,2016,Givrins,https://www.inno-boost.com/,88
Mithras Technology AG,Making wearable devices energy autonomous.,EngineeringCleantech,2018,Chur,https://mithras.tech/,88
Intrace Medical SA,Developing markers that reliably identify tissue affected by cancer or bacterial infection in vivo,Medtech,2012,Lausanne,http://intrace-medical.com,89
immoledo,Digital analysis of the current state of buildings and solutions to digitize real estate processes.,Software,2010,Zürich,http://immoledo.com/,89
Raptor Compliance GmbH,SaaS solution for legal &amp; compliance managers,unknown,2017,Zurich,https://www.raptorcompliance.com/,89
"iShepherd, Inc.",Compliance Analytics. Done Right,SoftwareFintech,2019,Glattpark Opfikon,https://www.ishepherd.ai/,89
Riskifier,"Riskifier is a RegTech start-up making investment risk profiling simple, fun and insightful with AI powered solution.",Fintech,2022,,unknown,89
"Oust! Rosset, Losey, Jomini SNC",Optimizing recyclable waste collection,Cleantech,2017,Estavayer-le-Lac,http://www.oust.ch,89
Centagora Sàrl,Watchmaking and microtechnic products,Engineering,2008,Les Geneveys-sur-Coffrane,http://www.centagora.com,89
Levuro AG,Powerful social marketing tool fo the sport industry,unknown,2016,Zürich,https://levuro.com/,89
Stairlin,The personal assistant for you,Fintech,2016,Lausanne,https://www.stairlin.com/,89
Securosys SA,Secure communication technologies and systems for commercial applications,unknown,2014,Zürich,http://www.securosys.ch,89
b-rayZ GmbH,QA and standardization for radiology procedure using AI,Medtech,2019,Schlieren,http://www.b-rayz.ch,89
PatternLab Sàrl,Scientific Consulting,Software,2008,Lausanne,http://www.patternlab.ch,89
ViSSee AG,Development of visual speed sensors,Software,2009,Zug,https://vissee.ch/,90
LinkAlong,Knowledge-Driven Document Analytics,SoftwareFintech,2017,Lausanne,https://www.linkalong.com,90
AKENES SA (Exoscale),Safe and affordable infrastructure as a service,unknown,2011,Lausanne,http://www.exoscale.ch,90
InnoBoost SA,Simplify and Innovate,unknown,2016,Givrins,https://www.inno-boost.com/,90
CommoChain SA,Streamlining the back-office of commodity trading,SoftwareFintech,2019,Plan-les-Ouates,https://www.commochain.io,90
Classtime AG,The clear path to student success,unknown,2019,Zürich,http://www.classtime.com,90
SPLITSEAT AG,"Allowing sports fans to share their season tickets with friends, customers or other sports fans",unknown,2015,Bern,https://www.splitseat.ch/,90
CLOUDSIGMA AG,Flexible cloud computing IaaS provider with a wide range of cloud computing services,Software,2009,Zürich,http://www.cloudsigma.com,90
Evodrop AG,For every drinking water problem we have a solution.,Cleantech,2019,Zürich,http://www.evodrop.com,90
Arc Power GmbH,ARC-Power Hi-rel power solution for space application,unknown,2016,Dübendorf (ZH),http://www.arc-power.com/,90
Pexapark AG,Complete revenue management solution for renewable energy,FintechCleantech,2017,Schlieren,https://pexapark.com,90
Rigi Technologies SA,Universal drone logistics,EngineeringCleantech,2016,Prilly,http://www.rigi.tech,90
eCollect AG,Receivables management simply online,Fintech,2014,Baar (ZG),http://www.ecollect.ch/,91
Saphyrion Sagl,"Focusing on semiconductor and board level designs, as well as software development",Software,2009,Bioggio,http://www.saphyrion.ch,91
NALA.care GmbH,AI-based digital therapeutic for chronic skin conditions,Medtech,2020,Zurich,https://www.nala.care/,91
 Backbone Art SA,On-demand service for professional visuals,Software,2018,Genève,http://www.bkbn.com,91
Gatechain GmbH,Redefining trade finance with blockchain technology,Fintech,2022,,http://www.gatechain.com,91
h-square GmbH ,Adcanced Chatbots solutions,unknown,2018,Zürich,https://www.h-square.io/,91
M3AT SA,A revolutionary new disposable urine management system for bedbound patients,Medtech,2009,Botterens,http://www.m3at.com,91
GenTwo Digital AG,unknown,Fintech,2022,Zug,unknown,91
Collectome Sàrl,Automated collection of ultrathin sections for biology.,Biotech,2019,Lausanne,https://www.collectome.com,91
Spectroswiss Sàrl,Innovations in mass spectrometry to accelerate research in life sciences,Biotech,2014,Lausanne,https://www.spectroswiss.ch/,91
Rigi Technologies SA,Universal drone logistics,EngineeringCleantech,2016,Prilly,http://www.rigi.tech,91
Newsroom Communication AG,Storytelling and content publishing tool to make your life easier!,unknown,2014,Bern,http://www.storyshaker.co,91
Gilytics AG,Improving public participation and social acceptance with VR,Cleantech,2017,Zurich,https://gilytics.com,92
Coatmaster AG,Measuring industrial coatings,Engineering,2011,Winterthur,http://www.winterthurinstruments.ch,92
iRewind SA ,"Unique video memories on the spot, on your mobile",Software,2013,Lausanne ,http://video.irewind.com,92
Cequr SA,Advanced insulin delivery systems,Medtech,2008,Horw,http://cequrcorp.com,92
Amun AG,Crypto Tracking ETPs,Fintech,2018,Zug,http://amun.com,92
Crowdhouse AG,"First real-estate platform, which enables everybody to invest in properties all over Switzerland",Fintech,2015,Zürich,https://www.crowdhouse.ch/de,92
Pintail Ventures AG,Mobile money transfer solution,Fintech,2014,Zürich,http://pintail.net/,92
iolo AG,Revolutionary wall switches,EngineeringCleantech,2018,Alterswil,http://dingz.ch,92
Prognolite AG,Prognolite tells restaurant managers how many guests are goi,Software,2016,Winterthur,http://www.prognolite.ch,92
EH Group Engineering AG,Fuel cell technology for decarbonised mobility &amp; power,Cleantech,2017,Renens,https://www.ehgroup.ch/,92
Mobile Health AG,Enables Evidence-based care in the real-world,Medtech,1976,Zürich,http://mobilehealth.global/index.html,92
Piemacs,unknown,Engineering,2016,Lausanne,http://www.piemacs.ch,92
Sensima Technology SA ,Magnetic sensors on a micro-chip,Engineering,2008,Gland,http://www.sensimatech.com,93
noonee AG,"Wearable technology, which enables factory workers to sit down during work – without a chair",Medtech,2022,Hedingen,https://www.noonee.com/en/,93
Socialease SA,The first Intelligent Assistant designed to support hospitality businesses in the management of their social media,unknown,2015,Lausanne,http://www.socialease.ch,93
Aspaara Algorithmic Solutions AG,Optimization potentials and customized software solutions for successful digitalization strategies,Software,2015,Zürich,https://www.aspaara.com/index/,93
Vestun,Agnostic Investment Intelligence,SoftwareFintech,2019,Zurich,https://vestun.com,93
Medudem AG,Catalyzing the way health professionals and patients interact,Medtech,2007,Zürich,http://www.medudem.com,93
Bota Systems AG,BOTA Systems gives machines the sense of touch,Engineering,2020,Zurich,http://www.botasys.com,93
Credentis AG,Treating initial caries without drilling,Medtech,2008,Windisch,http://www.credentis.com,93
Yasai AG,Yasai - Grow more with less,Cleantech,2020,Zurich,http://www.yasai.ch,93
FinGuide AG,FinGuide helps wealthy persons finding the right partner for the investment of their assets,Fintech,2017,Horgen,https://www.finguide.ch/,93
zkipster AG,Guest list management software for tomorrow's event industry,Software,2012,Zürich,http://www.zkipster.com,93
Dronistics,Human-Friendly Drone for last centimeter delivery.,EngineeringFintech,2022,Lausanne,http://www.dronistics.ch/,93
CareerLunch AG,Matching talents with employees for informal lunch exchanges,unknown,2019,Sarnen,http://careerlunch.com,94
Carvolution AG,Car Subscription Model for Switzerland,Cleantech,2018,Bannwil,https://www.carvolution.com/de/,94
Calidris Fintech AG,Secure digital asset trading with European standards,Fintech,2017,Vaduz,https://calidrisfintech.com/de/,94
GetYourGuide AG,Booking website for tours and activities,unknown,2008,Zürich,http://www.getyourguide.com,94
Regenosca SA,We bring regeneration over scarring,Medtech,2019,Lausanne,https://www.regenosca.com/,94
Crossiety AG,Hyper local social media platform,unknown,2018,Thalwil,https://www.crossiety.ch/,94
"IPOGEE Consult, Ingénieurs-conseil Sàrl",Information management solutions,unknown,2007,Neuchâtel,http://www.ipogee.ch,94
Arbalo AG,Cloud Service Broker - a marketplace for software parts,Software,2019,Zürich,http://www.arbalo.ch,94
ECUREX GmbH,The digital finance marketplace,Fintech,2014,Zürich,http://www.ecurex.com,94
InCube Group AG,Navigate the challenges in investment and risk management,Fintech,2009,Baar,http://www.incubegroup.com/en/,94
Dpendent - Drone Independent System,Unmanned Drone Ground Handling Stations,Engineering,2020,Cully,https://www.dpendent.ch/,94
Nerds with Glasses GmbH,Design system for custom tailored clothing.,Software,2015,Zürich,unknown,94
Medicosearch AG,Find and book an appointment with a nearby doctor or dentist,Software,2007,Bern,http://www.medicosearch.ch,95
Drotr AG,Speak your language with the world,unknown,2022,Wilen b. Wollerau,http://drotr.com/,95
Aegis Rider AG,"Smart, vision based safety systems for powered two-wheelers",SoftwareCleantech,2020,Schlieren,http://www.aegisrider.com,95
Smart Energy Link AG,Energy management system for captive power solutions,Cleantech,2017,Bern,http://smartenergylink.ch,95
Opiniooon GmbH,unknown,Software,2016,Zürich,https://opiniooon.ch/,95
Stagend SA,Bring the music to your event,Software,2014,Lugano ,http://www.stagend.com,95
IOU,Intelligent Money Management,SoftwareFintech,2022,Zürich,http://www.iou.ch,95
iKentoo SA ,POS solution for hospitality entrepreneurs,Fintech,2011,Les Acacias – Genève,https://www.ikentoo.com,95
Finovo AG ,Mortgage solutions for pension funds,SoftwareFintech,2016,Zurich,unknown,95
Hygienics.ch GmbH (HyShell),The hygienic way to open doors,unknown,2013,Pratteln,http://www.hygienics.ch,95
FlexOffice (by PopupOffice AG),"Flexible offices, all inclusive.",unknown,2015,Zürich,https://flexoffice.swiss/?utm_source=startup.ch&amp%3Butm_medium=website&amp%3Butm_campaign=profile,95
Balzano Informatik AG,AI software for MRI images in radiology,Software,2011,Zurich,https://www.balzano.ch/,95
Veeting AG,unknown,unknown,2008,Zurich,https://www.veeting.com,96
Demodia GmbH,Demand-generation and full-servicve digital marketing agency,unknown,2009,St Gallen,https://www.demodia.com/de,96
AESTICO GmbH,Free craftsmen from paper-based renovation planning,Software,2020,Zürich,http://www.aestico.ch,96
Joulia SA,Shower drain with integrated heat recovery.,Cleantech,2010,Biel-Bienne,http://joulia.com,96
Lipidon AG,Actionable biomarkers discovery for food,Medtech,2018,Zürich,http://www.lipidon.com,96
Kasparund,Kaspar&amp; is the personal assistant for your financial life.,SoftwareFintech,2020,St. Gallen,http://www.kasparund.ch,96
Medyria AG,Advanced and intuitive methods for the visualization and con,Medtech,2012,Winterthur,http://www.medyria.com,96
Polarmond Outdoor GmbH,"Develops the ""self-warming"" seat-tent and sleeping shell assortment",Engineering,2017,Bassersdorf,http://www.polarmond.ch,96
TRUSTLESS.AI Sàrl,Unimagined security for your private digital life,Fintech,2019,Zürich,http://www.trustless.ai,96
Nezasa AG,Technology solutions for the travel trade,unknown,2012,Zürich,http://www.nezasa.com,96
Myotest SA,Movement analysis and results,Engineering,2004,Sierre,http://www.myotest.ch,96
Aequitec AG,unknown,Fintech,2020,Zürich,http://www.aequitec.ch,96
gymetrics SA,Captors and measure instruments for biology and pharmaceuticals,Medtech,2011,Ecublens,http://www.gymetrics.com,97
Sonetik AG,Fast and professional hering test,Medtech,2007,Bern,http://www.sonetik.ch,97
Concept | Iris GmbH,We develop an innovative reusable coffee-to-go-cup.,unknown,2020,Horw,https://conceptiris.ch/de-CH/,97
Verity AG,Autonomous indoor drone systems,Engineering,2014,Zurich,https://verity.ch/,97
ct atlantic Ltd.,"Novel, human-derived antibodies for the treatment of cancer",Biotech,2008,Schlieren,http://www.ct-atlantic.com,97
ImmunOs Therapeutics AG,Drug development to antagonise various kind of tumours,Biotech,2014,Schlieren,http://www.immunostherapeutics.com/,97
MOVU AG ,Finding the best moving and cleaning provider online,unknown,2014,Zürich,https://www.movu.ch/,97
STBL Medical Research AG,A continuous non-invasive blood pressure monitoring system,Medtech,2010,Freienbach,http://www.vitalfunction.ch,97
Haelixa AG,Reliable product identification through DNA technology,Engineering,2016,Kemptthal,http://haelixa.com,97
Filmwords AG,Interactive TV and advertising,Software,2012,Zürich,https://adtracks.tv,97
dhp technology AG,"Develops, produces and sells the worldwide unique solar folding roof",Cleantech,2015,Zizers,http://www.dhp-technology.ch/,97
Wecan Tokenize,Wecan tokenize is an end-to-end tokenization platform,Fintech,2019,geneva,http://www.wecantokenize.com,97
Avantama AG,Tailormade nanoparticles and dispersions,EngineeringCleantech,2008,Stäfa,https://avantama.com,98
Novamem AG,Providing bioseparation membranes and chemically resistant high performance filters,EngineeringCleantech,2013,Schlieren,https://www.drinkpure-waterfilter.com,98
Finhorizon AG,Investment platform translates complex research to intuitive decision indicator,Fintech,2014,Zürich,http://www.finhorizon.ch,98
ECUREX GmbH,The digital finance marketplace,Fintech,2014,Zürich,http://www.ecurex.com,98
Filmwords AG,Interactive TV and advertising,Software,2012,Zürich,https://adtracks.tv,98
Urban Blue GmbH,A new precision farming framework for land-based aquaculture,Software,2020,Zürich,http://www.urbanblue.ch,98
Sanostro,Smart asset allocation,SoftwareFintech,2011,Zurich,http://sanostro.com,98
TC Metrix Sàrl,Providing T cell monitoring reagents of high quality,Biotech,2012,Epalinges,http://www.tcmetrix.ch,98
IMMOYOU AG,Club invest in real estate,Fintech,2017,Zurich,https://immoyou.ch/,98
Senis,Magnetic &amp; current measurement,Engineering,2004,Zug,https://www.senis.ch/,98
aiEndoscopic AG,Assisstive device for safer and easier Tracheal Intubations,Medtech,2022,Zürich,https://www.aiendoscopic.com,98
Nanolive SA,Revolutionary tomographic microscope,Biotech,2013,Ecublens,https://nanolive.ch/,98
MaxDeTec AG,Particle detection devices,Engineering,2010,Zürich,http://www.maxdetec.ch,99
UbiSim SA,UbiSim is a training platform for nurses,Software,2017,Lausanne,http://www.ubisim.ch/,99
Auregen BioTherapeutics SA ,3D bioprinting technology for innovative treatments to cure rare disorders,Biotech,2016,Genève,unknown,99
Provatis SA,Making mobility easy,Cleantech,2009,Ecublens,http://www.provatis.ch,99
Finox AG ,Fertility solutions,unknown,2007,Kirchberg,http://finoxbiotech.com/,99
Octeris AG,Making recruitment a better experience for everyone involved.,Software,2018,Steinhausen,https://www.octeris.com,99
Mr. Green Recycling-Service GmbH,The clever recycling subscription,unknown,2010,Zürich,http://www.mr-green.ch,99
I-DENT INNOVATIONS FOR DENTISTRY SA,Reflecting your values,Medtech,2004,Nyon,http://www.i-dent-dental.com/,99
Kasparund AG,Mastering financial life - with you.,Fintech,2022,St. Gallen ,unknown,99
Medical Insights AG,Medical content aggregator offering speciality-specific medical apps for healthcare professionals,Medtech,2012,Basel,http://www.insights.md,99
Lightmove SA,The certainty of selling your property in 10 days,Software,2019,Lausanne,https://www.lightmove.ch,99
LuckaBox Logistics AG,SAAS Last Mile Digital Forwarder for Enterprises,unknown,2017,Winterthur,https://luckabox.com/,99
Weavr ,"Weavr is the Wordpress of Virtual Reality, providing business with an easy and affordable way to create their presence in Virtual Reality",unknown,2017,Au,https://weavr.space,100
SecuLabs SA,IT Security Services,Software,2012,Cormondrèche,https://www.seculabs.ch/,100
DOOLDY SàRL,Promotion website for companies to recruit talent,Software,2008,Bienne,http://www.dooldy.com/,100
nummo AG ,Personal financial management platform,SoftwareFintech,2016,Zurich,https://www.nummo.com/home,100
Scewo AG,Stair climbing wheelchair.,Medtech,2017,Winterthur,https://scewo.ch/,100
Smart Cash AG (tangem),Smart banknote for digital assets,SoftwareFintech,2017,Teufen,https://tangem.com/,100
Foldaway Haptics,Miniature foldable robots enabling force feedback,Engineering,2019,Lausanne,http://www.foldaway-haptics.com/,100
Deldro AG. Delivery Drones.,Deldro develops and operates a drone-based express delivery service.,EngineeringCleantech,2017,Zürich,http://www.deldro.com,100
Online Payments Group AG (SecurionPay),Payments meet technology,Fintech,2011,Wollerau,https://securionpay.com/,100
InCube Group AG,Navigate the challenges in investment and risk management,Fintech,2009,Baar,http://www.incubegroup.com/en/,100
DigiComCore SA,The first telecom system foundry,Engineering,2008,Lausanne,http://www.digicomcore.com,100
Bry Air Prokon Sagl,Measurement of moisture content of bulk materials,Engineering,2008,Chiasso,http://www.pro-kon.ch,100
Animatico AG,Interactive AI characters for next-gen customer-experiences,Software,2019,Zürich,https://animati.co/,101
GRidSTeer SARL ,Power grid control management,SoftwareCleantech,2018,Lausanne,https://www.gridsteer.ch/,101
Think Yellow GmbH ,Gender equality investment platform,Fintech,2016,Meilen,http://www.thinkyellow.ch/,101
Eyeware Tech SA,Attention Sensing with 3D Eye Tracking,SoftwareCleantech,2016,Martigny,http://www.eyeware.tech,101
Novigenix SA,Innovation in liquid biopsy to eradicate cancer,Biotech,2014,Epalinges,https://novigenix.com/en/,101
Push.ai gmbh (Masha.ai),Always have a gift in your pocket.,unknown,2019,Zug,https://masha.ai,101
Trace Technologies SA,Golf driving range system designed to improve core programs and services,Software,2007,Renens,http://tracegolf.com,101
TechPlants SA,Precision machining and high-tech materials,Medtech,2010,Delémont,http://www.techplants.com,101
DocApp (Schweiz) AG,Review platform for doctors,unknown,2015,Zürich,http://www.docapp.ch/en,101
tilbago AG,Enabling creditors to handle full debt collection process electronically,Fintech,2016,Luzern,https://tilbago.ch,101
MycoSolutions AG,Biological plant and wood protection,BiotechCleantech,2016,St. Gallen,unknown,101
Food 2 You,24/7 Food Delivery,unknown,2019,Davos,unknown,101
Centi AG,Electronic cash payments to benefit consumers,Software,2020,Zurich,https://centi.ch/,102
AVAtronics SA,Minimize unwanted audio noise for a better hearing quality,SoftwareCleantech,2016,Lausanne,https://www.avatronics.com/,102
Opna Immuno-Oncology Ltd,unknown,Biotech,2022,St-Sulpice,unknown,102
KOMP-ACT SA,KOMP-ACT innovativ electric actuators for a greener industry,EngineeringCleantech,2018,Ecublens,https://www.komp-act.com/,102
AKENES SA (Exoscale),Safe and affordable infrastructure as a service,unknown,2011,Lausanne,http://www.exoscale.ch,102
CodeCheck AG,Shopping assistant for a conscious lifestyle,unknown,2014,Zürich,http://www.codecheck.info,102
Neia SA,Crowdsourced meals for employees,unknown,2019,Geneva,http://www.neia.app,102
G24 Innovations Sàrl,unknown,Cleantech,2011,Yverdon-les-Bains,http://www.g24i.com,102
CreditGate24 AG,The leading Swiss P2P lending platform,Fintech,2014,Zurich,https://www.creditgate24.ch/en/,102
Performance Buildings AG,If smart is not enough,Software,2008,Regensdorf,http://www.performancebuildings.ch,102
Farmer Connect SA,unknown,Software,2019,Vernier,https://www.farmerconnect.com/,102
IMMOMIG SA,Software solutions for real estate,Software,2004,Granges-Paccot,http://www.immomigsa.ch,102
tomsfive gmbh,eRecruiting Platform,unknown,2017,St.Gallen,https://www.tomsfive.com/,103
Monetas AG,Mobile payments and trade from the palm of your hand,Fintech,2013,Zug,http://www.monetas.net,103
Dealmarket AG ,The global private equity platform,SoftwareFintech,2011,St. Gallen,https://www.dealmarket.com,103
Annanow Group AG ,SaaS Eco-System for Retailers,FintechCleantech,2017,Zug,https://annanow.com/,103
Securosys SA,Secure communication technologies and systems for commercial applications,unknown,2014,Zürich,http://www.securosys.ch,103
HAYA Therapeutics SA,Treating heart failure through innovative RNA-therapies,Biotech,2019,Lausanne,http://www.hayatx.com,103
CoreLedger AG,"Make anything transactable, literally anything!",unknown,2017,Baar,https://coreledger.net/,103
H55 AG,Electric propulsion technologies,Cleantech,2015,Sion,http://www.h55.ch,103
Spark Horizon GmbH,Sponsored EV charging network at destination locations,Cleantech,2018,Zurich,https://www.sparkhorizon.com/,103
HC2 Health Care &amp; Pharma Consulting SA,Medical devices and software technology for your patients,Biotech,2013,Genève,http://www.hcpharmaconsulting.ch/,103
Globalance Bank AG,Swiss private bank that specialises in sustainable investments,unknown,2010,Zürich,http://www.globalance-bank.com,103
ONWARD Medical SA,Enabling nervous system rewiring,Medtech,2014,Lausanne,https://www.onwd.com/,103
CASUS Technologies AG,CASUS provides low-threshold access to legal services,unknown,2019,Zurich,https://casus.ch,104
"IPOGEE Consult, Ingénieurs-conseil Sàrl",Information management solutions,unknown,2007,Neuchâtel,http://www.ipogee.ch,104
GAIASENS Technologies SARL,Working on measuring and modelising environmental phenomenons,unknown,2010,Begnins,http://www.gaiasens.ch,104
haako gmbh (datalinker),haako's datalinker is the turntable for sharing medical information securely within and between organizations.,Software,2016,Allschwil,https://www.datalinker.io,104
EEat,EEat helps the food industry to manage HACCP requirements,Software,2017,Ecublens,https://eeat.io/,104
Gamaya SA,Decision support and automation solutions for precision agriculture,Software,2015,Morges,http://gamaya.com,104
onCyt Microbiology AG ,High-Resolution Microbial Monitoring and Laboratory Automation,Cleantech,2017,Zürich,http://oncyt.com/,104
katia SA,Fighting unwanted calls,unknown,2015,Martigny,http://www.katia.ch,104
arviem AG,arviem is an independent Global Cargo Monitoring Service provider.,EngineeringCleantech,2008,Baar,http://www.arviem.com,104
cellvie AG,From cells to medicine,Biotech,2020,Matzingen,http://www.cellvie.bio,104
Comphya SA,First neurostimulator to treat erectile dysfunction,Medtech,2017,Lausanne,https://comphya.com/,104
AIONAV Systems AG,Autonomous indoor and outdoor navigation,SoftwareCleantech,2011,Bern ,http://www.aionav.com,104
Scailyte AG,Extracting knowledge from single-cell data to save lives,Medtech,2017,Basel,http://www.scailyte.com,105
Kitro SA,Automatically manage and monitor waste for the food,Cleantech,2017,Lausanne,https://kitro.ch/,105
VIAC AG,Mobile 3rd pillar account for retirement savings,Fintech,2017,Luzern,unknown,105
Loylogic Inc.,Built to Evolve,SoftwareFintech,2005,Küsnacht,http://www.loylogic.com/,105
GenomSoft SA,"Biotechnology company focussed on efficient storage, processing and transport of genomics data.",Biotech,2017,Genève,http://www.genomsoft.com,105
Finform AG ,Efficient processing and real-time verification of formal compliance-relevant documents,Fintech,2016,Bern,https://www.finform.ch,105
28msec GmbH,Single source of truth for regulatory and financial reporting,Software,2008,Zürich,http://www.28msec.com,105
MBK FINCOM SA (produceshop),E-commerce platform,unknown,2013,Paradiso,https://www.produceshop.ch/de/,105
Tombooks Sàrl ,Sheet music that scrolls automatically with the music,unknown,2010,Pully,https://tomplay.com,105
Plexim GmbH,High-speed simulations of power electronic systems,MedtechCleantech,2002,Zürich,http://www.plexim.com,105
felfel AG,"Affordable, ultra-fresh food for employees",unknown,2013,Zürich,http://www.felfel.ch,105
wydr GmbH,Open art-trading platform,unknown,2015,,unknown,105
Aegis Rider AG,"Smart, vision based safety systems for powered two-wheelers",SoftwareCleantech,2020,Schlieren,http://www.aegisrider.com,106
photrack AG,Image based measurements,Software,2012,Zürich,http://photrack.ch,106
Shortcut Media AG,Link your offline world to the Internet with Shortcut.,unknown,2012,Zürich,http://www.shortcutmedia.com,106
senseFly SA ,Smart flying cameras,Engineering,2009,Cheseaux-Lausanne,http://www.sensefly.com,106
eSMART Technologies SA,Complete smart buildings management system,EngineeringCleantech,2011,Ecublens,http://www.myesmart.com/de/,106
Nutrix AG,Non-invasive glucose monitoring device with saliva,Medtech,2020,Basel,http://www.nutrix.tech,106
iolo AG,Revolutionary wall switches,EngineeringCleantech,2018,Alterswil,http://dingz.ch,106
PropTech Partners SA (Neho),Real estate selling platform with fixed commision,Fintech,2022,Ecublens,https://neho.ch/en/,106
Ideaology GmbH,"Made to innovate, work and invest",SoftwareFintech,2020,Zug,https://www.ideaology.io/,106
BIOWETRICS SA,Wearables Biometrics,EngineeringFintech,2020,Neuchatel,unknown,106
Optical Additives GmbH,Convert any surface into a solar cell,EngineeringCleantech,2006,Staufen,http://www.optical-additives.com,106
feey,Plants for all thumb colors,unknown,2020,Uzwil,https://feey.ch/,106
VAY AG,Making computers understand human motion,Software,2019,Zürich,https://vay.ai/,107
4DiXplorer AG,3D modeling services and related software,Software,2009,Zürich,http://www.4dixplorer.com,107
Saphetor SA,Analysis of genetic variation from next-generation sequencing data,Biotech,2014,Lausanne,https://saphetor.com/,107
Socialease SA,The first Intelligent Assistant designed to support hospitality businesses in the management of their social media,unknown,2015,Lausanne,http://www.socialease.ch,107
Biodenta Swiss AG,High quality and innovative solutions for dental implant,Medtech,2008,Berneck,http://www.biodenta.com/,107
The Hub App AG,Making Invitations Easier and Simpler,Software,2020,Bülach,https://www.hubapp.net/,107
DiData,Scientific data integration platform,Software,2019,Lausanne,unknown,107
Geneva Biotech Center (GBC) SA,unknown,Biotech,2013,Genève,http://genevabiotechcenter.com/,107
Innovation 6 AG (TOM Medications),Mobile solution for hassle free medication intake,unknown,2020,Wermatswil ,https://www.tommedications.com,107
CybrQ AG,Cybersecurity solution to mitigate cyber risks across any device or operating system,SoftwareFintech,2017,Oberembrach,https://cybrq.com/,107
NEMIS Technologies AG,Breakthrough technology transforms the diagnostic market,Biotech,2018,Dübendorf,https://www.nemistech.com/,107
LIMMOBI AG,unknown,unknown,2016,Wil,https://limmobi.ch/,107
ARMA Instruments,Cyber security services,Software,2012,Baar,https://armainstruments.com/,108
Balluun AG,Empowers trade shows for the e-commerce era,Software,2012,Zürich,https://balluun.com,108
My Sky SA,Financial management and benchmarking tool for private jet owners,SoftwareFintech,2015,Lausanne,https://mysky.com/,108
NYCHA AG,Natural Kombucha,unknown,2017,Wettingen,https://nycha.ch/,108
Bring! Labs AG,Bring! simplifies grocery shopping for you,unknown,2015,Zürich,https://www.getbring.com/#!/app,108
Illotros GmbH (SnowHaze),A powerful private browser developed to truly protect data,unknown,2016,Zürich,https://snowhaze.com,108
SEED Biosciences SA,Isolate single cells reliably and cost-effectively,Biotech,2018,Epalinges,https://seedbiosciences.com/,108
IPSEITE SA,Integrated management for marketing optimization,Software,2005,Lausanne,http://www.ipseite.com,108
abstract ag,funnel for BIM to SIM,SoftwareCleantech,2020,Basel,https://www.abstract.build/,108
Nanogence SA ,Creating material solution for sustainble world,EngineeringCleantech,2018,Lausanne ,http://www.nanogence.com/,108
Aurora's Grid Sàrl,Energy Management Software for Li-ions Battery,Cleantech,2016,Lausanne,http://aurorasgrid.com,108
ANYbotics AG,Highly mobile legged robots operating in challenging environments,Engineering,2016,Zürich,https://www.anybotics.com/,108
Cellec Biotek AG,Developing and producing devices for 3D cell culture and tissue generation,Biotech,2011,Basel,http://www.cellecbiotek.com,109
ECUREX GmbH,The digital finance marketplace,Fintech,2014,Zürich,http://www.ecurex.com,109
CAScination AG,Image-guided liver surgeries,Medtech,2009,Bern,http://www.CAScination.ch,109
felfel AG,"Affordable, ultra-fresh food for employees",unknown,2013,Zürich,http://www.felfel.ch,109
Goody.Swiss GmbH,Deals and discounts app,unknown,2020,Zürich,https://www.goodyswiss.ch/,109
AKSELOS SA,Breakthrough software for engineering design and infrastructure assessment,Software,2012,Lausanne,https://akselos.com/,109
Swiss QualiQuest AG,unknown,unknown,2015,Bern,unknown,109
Celeroton AG,Ultra-highspeed electrical drive systems for renewable energy generation,EngineeringCleantech,2008,Volketswil,http://www.celeroton.com,109
Advice Online AG,Digital banking cloud,SoftwareFintech,2013,St. Gallen,https://www.adviceonline.ch,109
OZWE SA,Interactive systems ranging from gesture-controlled displays to multi-touch screens,Software,2008,Lausanne,http://www.ozwe.com,109
Novimmune AG,"Discover and develop antibody-based drugs targeted for the treatment of inflammatory diseases, immune-related disorders and cancer.",Biotech,1998,Plan-Les-Ouates,http://www.novimmune.com,109
SixSq Sàrl,Cloud computing solutions,Software,2007,Geneva ,http://sixsq.com,109
KB Medical SA ,Robotic system for spinal surgery,Medtech,2012,Lausanne,http://kbmedical.com,110
foodarena GmbH ,Food ordering platform,unknown,2007,Biel,unknown,110
Teseq AG ,Instruments for EMC emissions and immunity testing,Software,2006,Luterbach,http://www.teseq.com,110
Yokoy Group AG,Your expenses and company credit cards on autopilot,SoftwareFintech,2019,Zurich,https://yokoy.ai/,110
Open Packaging Network AG,Transform packaging industry in sustainable way,SoftwareFintech,2018,Zug,https://www.opnplatform.com/,110
AgFlow SA,Agri trading analytics,Software,2012,Genève,https://www.agflow.com,110
BBC Systems AG (smino.ch),Communication solution for the construction industry,unknown,2016,Rapperswil,https://www.smino.ch/,110
